2022-10-22 * socket wrench
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: 76199c8e-2683-4c67-aed9-4988aa332535
2022-10-22 * socket wrench
 - Manufactured by: DeWalt
 - Number Available: 2
 - Id: b41b1930-9f83-414e-8b85-606edfd59e41
2022-10-22 * power drill
 - Manufactured by: DeWalt
 - Number Available: 2
 - Id: 4a0c75cd-23de-43de-a4e2-02e1fcf542b7
2022-10-22 * hand saw
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: d874f40c-8c95-4048-8877-6c773db16a4a
2022-10-22 * hammer
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: 40d5e7f7-8086-4433-bc77-f4c7b5dd8fe6
2022-10-22 * stapler
 - Manufactured by: DeWalt
 - Number Available: 2
 - Id: 00cfc56a-fd7b-4453-9dc1-ecc2429cedde
2022-10-22 * power drill
 - Manufactured by: DeWalt
 - Number Available: 1
 - Id: f5caf337-15f4-4e73-b2f0-2a66938616e2
2022-10-22 * socket wrench
 - Manufactured by: DeWalt
 - Number Available: 3
 - Id: 625ccaf2-6e4c-4e13-8db4-9e703fffdc02
2022-10-22 * stapler
 - Manufactured by: Swingline
 - Number Available: 2
 - Id: 0a5d746f-719a-4b40-b6c0-37bc57115a97
2022-10-22 * hand saw
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: d68304d8-ae77-485d-83ed-eaada643fc29
2022-10-22 * hammer
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: f723f424-7e66-4a63-8036-b2c075b31f4b
2022-10-22 * hammer
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: 1f4b1cf7-185f-41ae-88fa-2d70a2503015
2022-10-22 * hand saw
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: 8ff94f6b-8c4c-4daf-96f7-9477985d67f4
2022-10-22 * socket wrench
 - Manufactured by: DeWalt
 - Number Available: 1
 - Id: deec57de-9acd-4698-bca9-d7f759e764b9
2022-10-22 * pry bar
 - Manufactured by: Stanley
 - Number Available: 2
 - Id: 3ff7f14c-d2bf-48e9-9871-6dc886a6dd24
2022-10-22 * hammer
 - Manufactured by: Vaughan
 - Number Available: 2
 - Id: 9ea70ce7-a087-4a41-9d16-447bbfaf5b9e
2022-10-22 * hammer
 - Manufactured by: Craftsman
 - Number Available: 1
 - Id: 84b3555f-2128-467f-8a2c-2ea7401f2590
2022-10-22 * hand saw
